AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
26.4,-20.8,-16,-212.2,208.8,166.2,14.6,12.2,-23.4,-159.2,197.2,112.8,23.2,13,-27.8,-105.8,117.8,29.4,40,16.4,-50,-17.2,-52,-11,45.8,23.2,-51.8,-1.4,-279.6,-54.4,33.2,25.4,-46.6,247.2,-557.2,-138,32,9,-27.4,360,-825,-233.8,-6.4,-5.2,11.6,234.8,-777.6,-254.6,-25.2,-14,18.4,237.6,-640,-198.2,-41.6,-30.4,32.4,147.8,-544.4,-190.8,-47.8,-16,64.2,-91.6,-357,-193.4,-49.4,-0.8,62.8,-138.2,-4.6,12.6,-52.6,-23.4,30.2,-92.8,473.8,195.4,-24.4,-23.8,21.8,-90,555,163.8,38.4,19.4,-7.8,-192,292,100,-7.4,18,-16.8,-149.6,279.6,89.8,up
14.8,-6.6,-18.8,-200.6,392,146,22.6,23.2,-37,-66.4,126.4,-1,40.8,16,-50,43.2,-85.8,-21.8,47.8,18,-58.6,95.2,-412.6,-5.6,35,28,-53.2,263.2,-699.6,-126,10.4,0.4,-9.6,327.4,-851.4,-220.4,-9.4,-13.8,7.4,340.4,-801.2,-151,-28,-6.6,14.8,236.2,-730.8,-183.6,-46.6,-9.4,55.2,42.8,-631.6,-287.8,-63.6,-23,75.8,61.4,-183,-78.6,-71.4,-43.2,70.4,-24.2,394,54,-11.4,-16.6,30.4,-221.6,604,174.4,21.8,20.8,-13.6,-225.4,367.2,163,-7.8,-6.2,-4,-145.2,298.4,90.2,0.2,3.4,-1.8,-137.6,446.6,91.2,26.6,8.8,-17.8,-40.6,264,122.8,up
1.4,1.4,22.4,-77.4,408,102.2,38.4,21,-50.2,-3.2,-136,-41,44,25.6,-48.4,77.6,-373,-84,31.8,20.8,-26.4,244.6,-536.2,-140.8,22.4,10,-25.4,367.8,-603,-158,3.4,0.4,-3.2,273.4,-700.8,-177.4,-12.8,-7.6,16,284.2,-668.8,-148.2,-52,-23,27.8,269.6,-551.2,-202.6,-43.2,-19.2,31.8,96,-431.2,-166,-54.6,-24.6,46.6,-119.6,-190.4,-55.4,-70.8,-27,79,-202,281,7.2,-27.2,-6,41.4,76.8,591.4,163.2,20.6,-5.2,-34.2,-175.8,411.8,247.2,-1.2,3.8,-8,-439.8,199.8,26.6,2,18,22.2,-13.4,402.6,49.2,23.4,-3.8,-29.8,141.2,366.8,198.4,up
-1,-5.6,-10,-140.2,422.4,134.6,19.8,-6.8,-41.8,-218,306.2,126.8,42.6,15.4,-37,-163.2,155.8,50.6,42.4,28.6,-34.8,-80.2,-49.2,-51.6,37.6,27.2,-47.8,31.2,-244.8,-80.2,48,16.6,-53,216,-465.4,-71,43,25.8,-29.6,239.4,-705.4,-201,7,6.8,2.8,397.6,-763.2,-213.2,0,-0.6,11.8,428.8,-671.2,-221.6,-16,-21.2,20.8,237.6,-658.4,-190.4,-32.2,-14.6,32.6,188,-488.8,-182.2,-63.2,-9.6,50.8,17.6,-265.4,-230.2,-75.8,-36.6,57.4,-124,9.4,-63.6,-34.6,-51,44.2,-203.4,389.2,197.8,-2.6,25.4,17.6,-161.2,567.6,191,-4.2,15,-14.2,-155,349.8,74.6,up
14.4,17.8,-14.8,-314.8,221.8,58.4,21.8,12.8,-18.8,-113.6,304,96.6,36.8,3.6,-50.2,-152.6,70,85.8,44.4,30.6,-61,-123.2,-178,-26.8,44.2,54.8,-41.8,91.6,-389.4,-106.2,34.8,32.4,-22.8,283.6,-570.4,-171,25.8,15.2,-20,471.6,-642.8,-291,3,1.2,-4.8,477.8,-621.2,-275.6,-2.6,-4.4,16.6,299.8,-680.2,-229.2,-18.4,-12,23.6,336.8,-566.4,-253.8,-44.4,-29.4,37.2,179,-404.2,-286.6,-55.4,-29.2,45.2,-43.8,-263.8,-86.2,-68.2,-42.6,59.4,-219.6,73.6,20.8,-34.8,-9.6,56.8,-194.6,487.2,53,-2.8,4.4,-1.6,-106.6,510,228.4,2.4,-9.2,-24.8,-220.4,329,278.8,up
24.8,22.6,-26.4,-166.4,210,96.8,28,9.6,-27,-175,149.6,36.6,27,27.6,-36,-1.6,59.8,7.8,41.6,18.2,-47.8,-38.2,-230.2,2.6,57.4,39.2,-47.2,107.4,-454,-126.4,30.6,34.8,-11.4,353.6,-546.6,-296.2,39.4,20,-13.6,473.6,-645.8,-341.4,-12.6,-31.8,6.8,377,-715.2,-198.2,-34.8,-16,10.8,240.2,-647.6,-206.6,-35.6,-10.8,32.4,75.8,-534.4,-276,-40.2,-35.4,45.4,122.8,-237.2,-74.2,-74,-48.8,53,-143.2,10.8,7,-54.4,7.8,40.8,-231.6,223,-35.2,-9.4,-6,20.6,-79,458.4,245.2,-6.2,-25,-3.8,-144.4,473,259.6,7.4,12,-6.4,-221.8,308.2,47.2,up
9.6,4,-9.2,-348.4,239.8,86.6,26.4,21.4,-7.6,-169.4,229.8,-26,31.6,8.8,-38.4,78.4,160.8,67,23,-3.4,-39.6,-116.4,1.4,66.6,52.6,44.2,-38.2,-169,-301.2,-165.6,51,30.2,-36.4,211.2,-417.4,-114.4,42,30.6,-23.2,414.8,-528.4,-138,14,-3.6,11,320.2,-600.6,-226,8.4,9.4,5.6,260.6,-543.6,-218.8,-15.2,-20.2,18.2,256.2,-464,-127.4,-9.6,-0.4,21.6,152.8,-460.6,-201.4,-38.2,-31.2,30.2,61.4,-240.4,-64.6,-55,-26.8,34.8,-14.6,-59.2,-100.6,-28,-5,16,-99.4,-40.2,-73,-27.6,-4.4,3.6,-70.2,37.2,43.2,-56.8,-35,29.4,-90.6,191.4,60,up
15.2,5.6,-19.4,-134.2,380,192.2,-1,-1,2.4,-4,-39.6,-3.4,-5,2.2,4.8,30.6,1,13.2,-3,-5,2.2,1.4,10.2,-0.2,-7.4,-2,10.4,-38.2,40.6,15,-14.6,-2.2,23.6,-15.4,191.2,71.8,-19,-9,21.6,2.6,334.4,138.2,1.4,-6,5.2,-102.6,376.2,120,4.8,3,-0.2,-139.6,389,84.6,9.4,-11.2,-11.8,-107,349.8,87.8,21.2,-2.2,-25,-113,265,137,36.6,18,-39.6,-163.2,161.2,87.2,36.6,26.6,-48.4,-120.4,-49.4,-51.6,47.4,23.2,-39.4,123.4,-317.6,-84.8,54,30.8,-29.8,251.4,-498.4,-73.6,42.8,27.4,-16,264.4,-680.8,-235.4,up
-60.6,-30,45.4,-78.6,-192,-177.4,-37.2,-5,27.6,-151,-35.6,5.2,-44.2,-15.8,30.8,-13,281.4,226.6,-42.6,-14.4,42.6,-88.6,568.8,107.8,12.2,7,-8.6,-110.6,423.4,90,21.4,7.2,-34.4,-92,217.4,149.6,-2.4,-3.8,1,-92.4,243.4,136.4,13.8,15.4,-1.8,10.2,191.4,-0.6,14,-5,-29,95,66.6,55,13.4,1.4,-16.2,-70,-114.4,-20,-4.8,3,3.8,-36.6,-95.2,-24.8,-21,-4.6,19.2,-2.6,38.6,27.8,-17.6,-1.4,28.8,40.2,188,62.6,-4.8,-2.2,21.8,-35.8,284.4,75.2,-11.2,-12.2,7,-96,366.8,114.6,-2.4,-12.6,0,-155.8,353.6,134.6,up
58.6,28.8,-45.8,-40.2,-133,-89.8,37.8,24.2,-40.6,224.6,-380.6,-82.4,32.6,13.4,-16.4,383.4,-614.4,-116.8,31.4,3.2,-8,269.2,-717.6,-120,-20.8,-2.8,14.4,199.2,-631.2,-185.6,-33.8,-5.4,23.6,315.4,-533.2,-163.6,-30.2,-26.2,38.6,174.8,-381.2,-253.8,-41.8,-25,30.2,34.4,-182.8,-54.8,-58.8,-16.4,17.2,-177.4,-136.2,-27.2,-51.8,-13.2,36.4,-228.8,79.4,-22.2,-43.2,-2.6,56,-18.8,448.4,88.6,-7.2,-10.8,-1,-60.2,540.6,247.4,14.8,-4.4,-27.4,-307.6,293.4,88.8,9.4,9.4,-4.4,-102.8,220.6,93.4,4.6,18.4,-3.2,8,256.4,77.4,20.2,-9.8,-22.4,19.8,115.6,62.8,up
-11,-13.6,1.6,-142.8,401.6,114.8,22.6,6.4,-25.6,-91,323,41.6,24.8,9.4,-39.4,-165,183.6,41,30.4,19.8,-37.6,73.8,99.4,44.2,41.4,6.6,-44.8,10.8,-125.8,2,49.6,21.2,-37,-27.2,-291.4,-24.2,40.6,32.8,-33.6,213.4,-452.6,-11,64.6,30.8,-9.2,303,-718.6,-169,11.6,-3.6,20,284,-701.6,-203.6,-35.4,-12.8,16,270.8,-495.8,-156.4,-24.4,-12.6,12.2,62.4,-459.8,-162.2,-27,-24.4,42.6,38.4,-308.2,-119.6,-47.6,-11.6,28,83.4,-113.4,-36.2,-40.8,-13,10.6,-146,-118.6,-94,-38.2,3.2,18.4,-79.2,37.6,-33.6,-53.2,-38.6,36.8,56.8,334.4,130.2,up
24.6,3.2,-19,-53.4,281,95.2,-2,-6.8,2.8,-156.4,-16.2,-48,-22,-1.2,20.8,-13.4,106,77.6,-15.8,-0.6,38.4,30.4,245,120.4,-4.6,-6.2,26.6,31.2,452.2,119.8,-10.8,-17.4,-10.8,-231.6,418.8,74.8,6.2,-4.8,-16.2,-253.8,277,96.8,29,15,-18,-94.4,200.2,48.2,31,12.6,-34.2,-57,157.8,-28.2,29.2,13.2,-42.8,-14.2,50.4,-2,52.4,17,-51,-3.4,-185.6,-39.4,64.4,21.2,-27.8,100.2,-508.4,-83.6,45.4,30.4,-6.2,321.8,-613.2,-135.2,19.4,0.8,-0.2,280,-631.6,-161.6,-13.2,-10,8.6,163.4,-609,-127.8,-30.4,-3,25.6,112.6,-554.8,-116.6,up
-39.2,-6,42,-60,500,103.2,8.8,1,-8.8,-77.6,430.4,110.4,11.8,-7.2,-22.2,-89.8,254.2,92.2,7,1.6,-11,-138.4,235.4,38.2,12.2,16.2,-7,29.2,187.6,85,17.4,-7.4,-22.8,-11.6,55,19.8,9.8,7.2,-14.4,6,-60.6,-46.2,-8.2,-4.2,2.6,64.4,-44.6,20.6,-16,-12,30.8,-88.4,83.4,55.4,-22,-5,42.6,-26.6,336.2,114,-17.2,6.4,13.6,103.4,477,155.6,1,-14,-15.4,-151,379.8,93.4,11.6,-16.8,-13.6,-325.8,295.4,76,15.6,21.2,-17.8,-53.4,355.6,116,29,18.2,-28.4,-2,250.2,10.2,54.2,12.6,-53,-205.4,-79,-133.6,up
-18.4,-8.4,14.4,186,-655.2,-192.2,-38.6,-2,27,147.4,-481,-191,-48,-19.4,30,208.6,-293.2,-115,-43,-12.4,28.6,-66.4,-153,-36,-58,5,25.2,-224.8,-55,-67.4,-60,-22.6,36.6,19,243.6,-34,-26.2,-5.8,40.8,-55,464.4,38.8,3.4,8.4,-3.4,-140.6,432.4,195.4,9.6,-2.2,-18.8,-58,285.8,105.4,0.4,-11.4,-7,-45.8,285,32.2,15,17.4,-3.6,-72.6,211.8,89.4,20.4,-5.4,-18.2,39.6,97.4,77.2,6.8,7.6,-11.8,20.2,9.8,-15.6,3.2,-5.8,-6.8,-34.8,-42.2,-18.4,-4.2,3.2,5.8,19,-15.6,-2,-17.6,-1.4,25.6,25.8,71.6,33.4,up
54.6,16.4,-30.6,-66.4,210.6,77.8,30.4,15,-18,216.2,-482.6,-105.2,9.6,10.8,7.6,235.4,-455.2,-174.6,16.8,6.6,8,201.8,-463.6,-193.8,-17,-13.4,7.6,192.4,-461.4,-181.6,-27.8,-15.6,14.8,174.2,-378.2,-119,-32.2,-15.2,19.4,-0.4,-268.8,-107.4,-40.4,-10.2,10,25.8,-155.8,-73.2,-56.2,-25.6,24.2,-28.4,-23.6,-18.2,-29.2,-12,37.8,-181.8,138.8,29.4,-15,1,20.4,-76.2,374.2,134,-13,8.4,-14.8,47.6,368.8,158,-6.2,-10.8,-10.6,-223.4,186.8,40.8,16.8,7.6,-3,-102.8,216,62.4,7.2,13.8,-10,103,222,127,7.2,-6.2,-19.6,-77.8,35.8,2.2,up
1.8,-10.8,7.2,-75.2,291.4,58.8,17,1.2,-19.8,-56.2,288.4,99.6,22.2,1,-21.8,-18.4,197,93,41,6.2,-32.2,-140.2,-4.2,11.2,51.4,23,-37.4,-42,-204.8,-32.4,44.4,25.8,-17.2,80,-354.4,-76.6,46,6.6,-6,152.4,-483.8,-136,17,9.8,-1.8,186.2,-537.4,-138.6,-17.4,-4.4,17.8,146,-461.4,-184.2,-17,-8.8,14.2,54.4,-355,-120.6,-18.6,-10.4,19.2,60,-269.8,-77.6,-27.6,-6.8,18.2,83.2,-143.8,-60.6,-37.6,-15.6,9.4,7.2,-75.4,-49.6,-31.6,-4.4,7.6,-55.2,-37.8,-23.4,-24.4,-2.8,14.4,-35.4,56.6,1,-27.4,2.6,23.4,38.4,219.2,30.2,up
16.8,-3.2,-20.8,-86.2,194.6,61.6,-4.4,-1.8,6,19.4,-33.2,-1.8,-14.8,-5,19.6,-56.4,45.8,21.2,-16,-4.8,28.2,-25.6,190,58.2,-13.2,-3.6,20.8,-23.4,361.6,83.4,-11.6,-6.2,-4.8,-108.4,444,130.2,16.4,-3.4,-12.2,-204.4,308.2,104.2,28.4,14.6,-7.6,-73.6,192.8,50.4,24.8,8.8,-22.6,5.8,171,35.8,20,-4.4,-36.8,-89.8,80.8,69.6,49,20,-26.8,-54.8,-121.6,16.8,34.2,23.8,-31.2,53,-281.2,-35,55,30.4,-13.8,138.2,-423.4,-63.4,34.2,20.4,6.6,227.2,-422.6,-143.6,7.8,7.6,1.6,242.8,-380.2,-240.6,-8.6,-6.8,-7.4,153.6,-466,-221.2,up
-44.6,-25.8,35,5.8,2.4,6.2,-39.6,-14.6,25.8,-32.6,273.2,89.8,-13.6,-7.2,2.8,-197.8,338,233,4.4,-5.4,5.4,-202.6,284,108.8,5.4,18,4.2,-36.8,269.2,36,4.2,7.8,-18.8,42.8,243.8,137.4,10.2,-10.6,-15,-98.6,108.6,48,10.6,7.4,-8,-96,41.8,2.4,7.6,9.2,-10,41.6,25.8,16.2,0.4,0.6,-5.2,10.4,-18.2,-2,0.8,-2.8,1.4,5.2,-31.2,-14.8,-0.4,-2.2,0.6,-23.2,-28.8,-5.2,-4,0.8,2.6,5.6,4.4,18.6,-4,-1.6,1.8,1.2,6.8,9.2,0.2,3.4,0.6,-22.2,5.4,-0.6,-1.8,1.2,-0.4,10.4,21,7.4,up
-11,-19.6,-14.2,-203.4,349.6,294.2,9.8,10,-25.2,-147,279.6,263.6,49.6,25.6,-37.6,-181,102.2,52.2,64.4,40.8,-55,-129.4,-207.6,-33.8,45.2,43.2,-38.2,243.6,-501,-148,20,13.4,-11.6,356.4,-600.4,-209,29,7.6,2.6,150.8,-639.8,-325.4,-5.2,3.4,16,276.2,-533,-287,-15.4,-14.2,30,281.2,-529.8,-320,-25.6,-15.4,24.4,69.6,-424,-217.2,-62.2,-50.2,35.2,112,-90.8,-13.2,-54.6,-44,40.6,-207.6,147,-13.6,-19.2,25,33.8,-152.8,209.2,40,-20.6,-7.8,5.8,-47,333.6,250.8,-6,-28,-9.8,-125.4,356,143,6.6,18,-5.8,-204.8,211.8,78.6,up
40.8,23.6,-22,45.2,115,98.6,16.6,12,-5.8,236.4,-499,-190.2,15.2,-2.2,6.2,232.4,-472.2,-226.4,-19.8,-10.6,11.6,244.2,-425.8,-184.6,-12,-14.6,17.2,89.2,-451.4,-139.4,-23.8,-19.2,20.2,116.2,-301.4,-26,-49.8,-29.4,23,41,-97,-40.4,-47.4,-14.8,24,-168.8,-73.6,-97,-15.8,-15.6,19.4,-74.2,7,116.8,-43.2,-9.8,24,-32.8,254.2,143.8,-27.4,-5.2,24.4,-118.4,346.4,76.8,-0.8,8.4,-6.2,-98,274.2,120.2,11.2,-1.6,-17.6,-116,226.4,99.6,-5.6,9.2,3.6,-42.4,230,50.4,13.6,8,-8.8,-23,164.2,26.2,8.8,-3,-16.6,55.2,101.6,46.8,up
-31.8,-1.4,-11.8,-64.2,-313,-143.6,-42.2,3.2,13.6,-41.4,-14,25.6,-17.2,6.4,13.4,78.2,129.4,138.4,-14,-4,2.8,-39,122.2,78,-22.2,-5,11,-80.8,265,43.6,-7,16.6,19.8,5.8,466.8,127.6,5.8,2.8,9,9.4,443.4,107,-4,-0.8,2.2,1,456.4,77,-4,-6,-5,93.4,479.8,93.4,12,-5.8,-9.4,-95.8,343.6,52.8,18.2,-5.6,-10.6,14,260.2,62.6,29.4,-1,-23.6,-33.6,61,57.2,43,6.4,-21.2,-84.6,-159.8,-21.6,40,-0.6,-4.2,14.4,-308.4,-40.2,14.6,5.2,24.4,-5.4,-319.4,-72.6,15.8,-1.8,19.2,0.2,-244.8,-42.6,down
-34.2,17.2,-25.4,-7.4,-282,-97.4,-31.2,2.8,9.8,-97,-80,-6,-27.8,-3.4,18.6,103.6,164.4,119,-6,-12.6,0.8,-47,187.8,74.2,-8.8,9.4,1.6,-61.2,243.4,62,-3.6,6,16.4,40.2,347,34.6,-0.8,-7.6,6.6,40.2,376.6,68.4,-0.2,-5,8.2,-208.6,438.6,38,-2.8,16,-2.2,139.6,501,91.8,2.8,-23.2,-15.6,-84.2,322.8,46.4,11,-2.6,-7.6,-131.8,228.8,10.2,16.8,6.4,-4.4,-69.4,157,33.4,19.8,1.4,-9.4,28.8,89.4,40.4,28.8,0.4,-14.8,41.8,-41.8,31,45.6,10,-11,30.4,-272,-19,44,5.4,8.2,55.4,-393.2,-69.2,down
-41.8,-12.6,-7.8,-82.6,-348.4,-164.4,-20.8,-12.2,-1.2,-381.6,70.8,64,-12,8.8,8.8,23.4,257.4,91,-2.8,4.8,14.8,176.4,345.8,92.4,-4.4,-13.8,15.8,-379,353.2,41,-5.8,18,16.6,6.8,501.4,116.2,-6.4,-2,-2.6,67.4,484.8,103.8,-1.2,-9.6,-13.2,-14.8,432,114.6,15.8,-1.8,-12.2,-51.8,309.6,95.2,21.8,5.4,-12.6,-68.8,159.8,45.8,29.4,-1.8,-16.2,44.6,35.6,21,38.8,7.4,-23.4,42.8,-122.2,14.4,40.8,3,1.4,-14.6,-309.4,-26.8,31.6,2.2,17.4,-22.6,-372.8,-81,15.2,0.8,20,89.2,-277.2,-61.4,11,-2,18.2,19.6,-208,-44.8,down
-56.6,-15.6,-31.2,45.6,-333.6,-119.6,-49,-5,2.8,-338.8,-121.4,-95.8,-29.4,13.6,19.8,-21,86,51.8,-22.6,1,27,218.6,241.2,221.6,-19.8,-11,14.4,-228.2,409,87.4,3.6,8.6,19.2,-195.2,532.8,7.2,-2.4,13.4,8.8,111.2,622.8,154.2,-3,-12.4,-8.2,134.6,528.2,153.2,14.4,-18,-5,-144.4,441,119.4,23.8,6.2,-7.4,-78.6,304.4,40.2,26,5.6,-20.4,-62,99.8,-27,23.2,0.2,-25,81.8,-5.2,36.4,45.8,-0.6,-27.2,-13.4,-202.4,26.2,38.4,9.2,-1.4,-45.2,-397,-38.4,24.2,13,27.2,61.2,-393.2,-86,8.6,-0.8,26,116.2,-257.6,-84.6,down
-33.8,-4.8,-23.8,-33.4,-266,-55.8,-34,3.8,20.4,-5.6,-80,-25,-27,1,13.6,22,127,24.6,-20.6,-15.6,0.2,-10.4,162.2,88,-7.6,-5.6,8.6,-249.4,237,105.2,-0.8,29.2,28.8,-17.8,392.8,62.2,-4.8,-10.4,16.2,75.4,510.4,66,-15.2,-9.2,-3.8,-63.8,539.4,129.4,-8.2,-5.6,-12.6,-135.4,526.6,151.4,19.4,-3,-15.2,43.4,393.8,108.2,23,9.4,-12.2,-110,156,33,33,1.8,-26.8,-7.6,77.6,33,36,9.2,-27.2,11.8,-72.4,-13.8,46.8,19.2,-14.2,93.2,-344.4,-31.2,38.6,-5.2,22.2,44.6,-462.4,-99.8,11.6,-14.4,35.8,37,-275.6,-110.6,down
-40.6,19.8,-9.4,60.6,-158.8,-47,-29.2,-4.4,2.8,73.4,-81.8,2.8,-19.6,-10,7.2,-79.4,-19.4,-22.6,-13.8,17,-3.4,50,72,-28.8,-17.6,5.6,18.4,-50,154,-31.6,-17.8,-15.8,17.2,26,363.4,176,4.6,-1,-4,2.8,414.2,151.4,6.6,14.8,-4,6.8,376,28.2,-25.2,-12.4,24.4,-221.8,397,48,-13.8,4.4,-3.6,204.2,580.6,222.2,21.2,-19.2,-27.6,-206.4,330.4,82,16.6,7.8,-7.4,-119,224.4,21.2,19.2,9.2,-8,24.6,123.4,8,27.6,-9.6,-24.6,57.2,41.4,63.8,49.8,-1.8,-22,-44,-175.6,-19,60.4,20.4,-1.8,-38.4,-443.4,-83.6,down
2.4,4.6,4.4,181.8,-201.6,-178.2,-20.6,-7.2,-22,102.4,-198.2,-111.4,-11.2,-4.6,-19.6,30.2,-210.8,-87.2,-17.6,-0.6,-13.8,32.4,-215.2,-59,-26.4,-7.6,-18,-23.6,-261.2,-43.6,-42.6,-8.4,0.2,-26.6,-190.8,-27.2,-25.4,4.2,3.8,39.8,-104.8,-15.6,-21.2,-7.2,9.6,33,-50.6,39.2,-28.4,-8.6,23.4,-33.6,137.8,106.2,-21.2,3,19.6,-147.6,308.2,84.6,2.8,-1,4.6,-93.2,352.8,114.4,-14.6,-4,26.4,1,497.2,124.2,-17.8,12.2,11,116.8,623.4,170.8,6.4,-18.6,-28.2,-195.8,506.8,138,20.8,-8,-24.4,-244.4,315.2,82.8,13.8,23.2,-2.4,88.8,276,58.4,down
6,-29.2,5.8,2.6,-235.6,-11.6,28.8,13.6,8.2,-275.4,-158.8,-69.8,9.2,30.6,24.2,261.4,-141.8,-80.4,-18.8,-29.2,-2.2,96.6,-69.4,-73.6,-1.6,-5.6,-18.6,-137.2,-76,-33.6,3.8,18.4,-19.2,133,-201.2,-53,-4.6,1.8,-22.2,77.6,-334,-124,-39.8,-6.4,-12.4,7.4,-327,-123,-43,3.4,-9.8,39.8,-241.2,-121.8,-34,-12.6,3.4,109.6,-158.6,-45.8,-23.8,-12,4.8,-98.8,-86.8,-16.2,-36.2,1.2,3,-159.6,60.6,87,-18.4,21.4,13.8,-42.2,238.2,78.2,-11.8,-25,12.8,-28.8,293,148.6,-2,10.6,8.6,-202.8,372.2,115.6,-8.6,24.8,22.2,155,539.6,146.2,down
