AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
36.4,-5.8,-38.4,46,138.8,94.6,65.6,20.2,-8.8,60,-387.4,-56.6,34,4.8,30.8,-29.6,-464.6,-118.8,4,-12.8,38.8,92,-252.6,-72.4,13,4.6,12.6,60.4,-176.4,-90.2,15.8,4.4,5.8,-82.2,-224,-90,-0.2,9,8.4,191.2,-182.8,-35.8,-4,-8.4,-4.2,26.4,-166.8,-149.8,-8.4,0.4,-17.8,48,-258.8,-135.8,-20.8,-7.8,-15.4,80.2,-287,-35.4,-35.4,-11,-8,-43,-211.4,-22.2,-27,-4.8,-2.4,-104.6,-210.6,-97,-32.8,2.8,7.8,-8.6,-96,0,-23.6,5.4,-1.6,-37.6,-0.2,88.4,-17.6,-2.8,0.2,-57.8,80,-13,-8.8,7.4,-1,23.6,64.4,-51.2,down
7.8,3,2,-224.4,464,157.2,21.6,7.6,1.8,-23.4,224,60.8,27,-15.8,-19.2,10.8,144.2,128.4,49.2,3.4,-19.6,-131,-88.8,17.2,41.8,20.8,-3.8,-21,-283.4,-34.2,57.4,-0.8,-2.8,-38.4,-469.6,-164.6,27.6,13.4,22.8,144.4,-452,-122.8,-1.8,-7,41.2,151,-287.8,-113.8,-8.6,-17.2,9.8,-119,-131.2,-123,13.2,13.8,7,2,-99.2,-80,3.8,-0.2,8.8,99.6,-128,-40.8,-15.2,-21.4,6.6,-9.6,-41.6,-73.8,4.8,21,-20.8,-22,-65.8,-48.6,8.2,3.6,-21.4,70.8,-270,-123.8,-18.6,0.4,-14.8,131.8,-338.6,-151.2,-49.8,-26.2,-6.2,1.4,-276,-70.6,down
-13,34.6,13.2,23,181,103.2,-12.6,-11.2,-3.4,150,348.4,66,2.2,3,4.2,-106,308,119.4,-14.6,-2.4,10.6,51,423.2,237.2,-3.4,9,11,280.2,569.4,289.6,2.8,-23.6,-17.2,-155.8,419,151.4,15.2,-10,-15.6,-421.6,210.8,49.8,17.4,14.6,4.6,44.2,235.2,124.2,34.2,1.4,-12.4,191.6,166.8,141.8,47,-0.2,-29.4,-331,-209.4,-108.4,48.6,20,-2.6,58.8,-324.2,-113,31.4,1,13.8,102.8,-424.6,-164.2,15,-7,23,98.6,-368.8,-144.4,-5.6,-9.4,24,85.2,-168.4,-84.2,9.8,-2.8,15,-105.2,-123,-116.8,6.6,9.2,6.6,38.2,-138.8,-28.2,down
-26.4,12.6,-21.6,-98.8,-217,-66.4,-26.6,1.8,4.8,-26.6,-70.8,22.8,-37.6,-15.8,6.6,-69.8,59.8,55.6,-15,21,-4.8,7,192.2,116.2,-15.6,0.4,15.4,22.6,282.4,176.4,-2,5,24.8,5.4,364.2,113.8,-7.2,-9.6,7.4,-21.4,448.6,134.2,-8.8,13.2,6.6,130.8,510.4,134.2,-14.4,3.6,1.8,172.8,582.6,184.4,23.4,-36.8,-29.2,-127.2,405.8,165.6,14,4.8,-5.6,-260,204.8,31,20,9,-5.6,144.8,193.8,71.8,35.2,-13,-28.6,-85.8,19.8,74.2,54.4,5.6,-14.2,-122.8,-239.2,-6.8,57.4,15.6,12.6,43.4,-425.2,-146.4,22,0.4,29.4,162.4,-411.8,-162.6,down
-28.6,5.2,-17.4,-161.6,-329.8,-233.2,-51.6,-1.8,11.4,158.2,51.6,44,-27.4,-9.8,5.4,3,278.4,215.8,11.6,-1.2,4.4,-282.4,207.2,85.4,-14,27.6,15.4,55.4,235.8,82.2,-16.8,-4,24.8,205.2,483.4,123.8,3,-2.4,7.8,56.4,477.6,130,-2.4,-3.6,-16,34.2,483.8,178,1.8,-7.8,-16.4,-36,379.8,206.2,7.4,-11.6,-5,-159.8,276,86.4,25,4.8,-17.6,-3,216.4,77.4,36.2,-6.6,-20.4,-131.4,20,98.2,32.6,3.4,-2.8,-119,-149.4,7.4,56.6,10.8,-5.2,86.8,-252.6,-83.8,49.8,9.4,22.4,38,-411.4,-207.8,10.8,-11.8,30.4,49.6,-405.2,-138.4,down
-30.8,16.2,-15.4,32.8,-112.8,-88,-20.4,-8,-0.6,113.6,165,152.4,-28.2,-10,5.8,-78.8,111.6,88.4,-6.4,17.6,10,-32,308.8,55.6,-0.2,14,22.8,94.4,443.6,116.8,-8,-18.4,9.4,10.2,452.4,96.6,-0.6,14.8,3.8,-17.6,450.2,72.2,-0.8,-3,-7.8,107.4,460.2,101.4,6.2,-18.6,-12.2,38.2,370.4,164.2,16.2,-12.2,-7,-234.4,239,82.4,23,1.2,-6.8,-182,146.8,29.2,20,-5.4,-6.6,41,43.4,86.8,45.4,6,-10.8,14,-98.4,46.6,44.4,6.6,-10,-142.6,-260.6,-29.2,43.8,22.6,-1,32.6,-411,-136,32,12.8,32.4,199.8,-507,-189.4,down
-20.6,-15.4,11.6,-104.2,99.6,-14.4,14.2,14,-29.2,135.4,-95.6,-85.6,2.4,-3.8,-23.2,36.2,-316,-139.4,-23,-1.2,-8,26.4,-341,-109,-45.4,-7.4,-6.4,40.2,-194.6,-49.4,-21.8,-16,-3.2,-77.6,-132.2,-34.4,-17.6,-0.2,9.8,-41,-134.4,-18.4,-25.2,32.2,-3.4,65.8,-35.6,-19,-39,-23.4,0,-14,106.6,19.8,0.6,-2.4,-1.6,-120.6,133.2,43,-9.6,14.6,1.4,-42.8,154.8,106.8,-10,2.2,9.2,-22.8,265.6,133.8,-13.8,7,18.8,91.6,365,78,-2.8,3,7.8,-13.4,433,102.6,-12.2,-13.4,-2.2,26.8,517.4,172,3.2,2,-3.6,-40.4,417.4,131.6,down
83.6,41.4,-6,-41.6,-501.2,-185.4,1.6,-6.4,41.6,462.4,-504.8,-139.4,-17.4,-51.8,20.2,-58.4,-176.4,-56.2,15.8,17.8,5.6,-290.8,-97.6,-57,32.4,29,15.8,234.2,-230,-115,-28,-29,15.8,217,-119,-40,-15.2,-19.2,4.4,-325.2,25.2,6.6,5,21.2,5.8,86.6,73.6,13.4,2.4,-7.8,-10.2,5.2,-2.2,-9.8,5.2,8.2,-9.2,6,-68.4,-68.8,9.6,9.4,-24,61,-222.8,-119.2,-18.8,-10.4,-23.2,26.2,-343.4,-66.4,-30.2,-6.2,-6.6,-31.4,-324.4,-75.2,-27,2,-7.6,38,-229.6,-98.8,-33.8,0.8,-15.6,20.6,-218,-57,-46,-4.4,3.4,-33,-136.8,34.2,down
21.4,6.4,9.8,-181.8,851.6,267.6,38.4,-9.4,-25.2,-54.6,76.8,40.6,43.4,7.6,-21,5.4,-154.6,-25.6,55,17.2,-1.6,8,-410.8,-106.2,33.8,3.2,17.8,41.6,-455.6,-124.4,-4.8,-13.6,34.6,93.2,-266.8,-84,18.6,-4,15.6,-5,-185,-58.2,16.8,11.2,6.6,-18.6,-211.4,-72.2,-10.8,3.6,15.2,81.6,-146.6,-46,-15.2,-24.2,16.4,-34,7.4,-7.8,11.2,12.2,0,-18,30,-2.4,0.8,6.2,-14.4,22,-21.2,-30.2,22.4,6.2,-33.6,102.4,-233.6,-129.4,-1.8,4.6,-43.8,118.8,-518,-157,-62.4,-18.6,-3,-38.2,-405.8,-104.8,-54.8,4.8,17.6,-131,-187.2,-69.4,down
-34.8,-4,27,170.6,938.6,353.6,19,-23.2,-27.8,-54.8,465.8,141.4,29.2,-3.8,-9.6,-303.8,205.6,21,13.2,9.4,3.4,-35,203.2,57,18.2,-15.8,-14.2,-4.4,126.2,64.4,52.6,4.6,-30.8,-80.8,-125.6,15.2,49.6,19.2,0.4,-42.2,-341.4,-117.8,29.4,12.6,14.4,100,-420.8,-119.6,9,-10.4,21,142.4,-297.2,-105.6,10.4,4,17,31.6,-224.6,-103.8,-1.6,-15.2,14.8,-21,-174.6,-38.6,9.8,16.6,16.2,38.4,-107.8,-34.8,-4.4,-3.2,11.4,44.2,-20,-51.2,-7.4,-6.6,1.4,-34.2,29.8,-16.4,15.8,13.8,-18.6,32.4,-75.6,-97.8,6.6,8.4,-28.2,125.4,-270.2,-133,down
-47,-12.4,3.8,115.2,-25,68.4,-24,12.8,18.2,-10.4,151.8,-97.2,-19.8,-6.2,6.6,-7.6,260.4,154.2,-4.4,-15,6.6,-191.2,315.4,165.4,-1.8,24.8,4.2,-4.4,418.8,104.8,8.8,0.6,0.6,124.4,361.8,114.8,-8.6,-10.2,11,-15.4,416,175.6,-14.8,-22.8,10,-251,515.8,137.4,1,11.6,-5.2,55.8,503.4,208.8,26,-13.4,-33.6,5.4,277.6,253.2,44.6,5,-19.4,-305,26.6,-36.6,39.6,23,-11.6,-139,-117,-184.4,31,10.6,3.6,282,-241.8,-44,42.8,-4.4,2.4,198.2,-379,-5.4,19,-7.6,22.8,-222.6,-411.6,-237.8,6.4,2,20.2,32.4,-200.2,-97,down
-45.8,5,-0.4,-69.2,-86.2,-134.8,-36.4,-3.8,14.8,136,-85,12.4,-20.6,-10.2,5,-0.2,5.6,55.2,-31.6,22.4,18.2,-122.6,209.4,56,-3,-15.6,-8.6,-70.6,312.6,67.6,5.6,-4.6,-9.2,6.8,245.6,132.2,-3.8,18.8,27.8,-108,311.2,63.2,-12.6,13.4,21,172.2,482.4,171.6,1.6,-23.2,-5.6,-57.2,509.4,95.6,-16.6,3.2,-7.8,-54.8,463,144.8,12,-6.4,-15.8,14,329.2,144.2,24.6,-3.4,-10.6,-136,219.4,92.8,27.8,2.2,-18,-10.4,116.6,68.6,48.6,9.2,-17.6,-33.4,-167.4,-43.2,42.2,7,-3,-3.6,-347.4,-86.2,25.8,-6.2,13.2,63.6,-365.6,-74.8,down
-13.4,-1.2,-4.2,43.2,9.2,-128,14,-33.2,-15.4,63.4,12.8,-43.4,10.4,-30.4,-6,-112.4,-45.8,43.6,8.6,-36,-2,-179,-98,321,22.6,-25.4,-7.6,-178.4,-133,513.4,-3.2,-11,1.8,-231.4,-90.6,389,-5.2,14.6,-4,-226,-186.6,515.8,-2.8,6.4,-10.4,-286,-267.6,461.6,-16,47.4,9.6,-77.8,-91.8,279.4,-22.2,65.4,27,58.8,121.8,-92.4,2.8,30.2,15.8,221,126,-252.2,10.4,-16.6,-9.8,203.8,28,-213.4,-6,-8.2,-1.6,-0.8,20.2,-192.4,4.2,14.4,14.4,71,76.6,-278.2,13.2,-16.6,2.8,151.6,92.4,-165.4,6.2,-15.6,-5.6,9,32,-106.2,right
-20.2,8.4,-1.6,222.6,100.6,-316.4,4.6,-34,-17.4,128.8,26.8,-98,13.8,-46.8,-12.8,-199.8,-146.2,126.4,11.8,-35.4,1.8,-253.6,-145.8,296.6,1.2,-10.4,6.2,-90.4,-23.8,418.8,15.4,7.4,-5,-171,-105.8,459.8,-6.6,-17,-6,-264,-156,441.6,-8.8,24.4,6.6,-133.4,-127.8,417.2,-7.4,29.8,-0.8,-130,-139.6,269.6,-14.4,31.4,4,-2.4,-90,130.8,-13.8,35.8,16.8,85,50.2,-105,0.6,23.4,15.2,234.2,171.2,-307.4,1.8,-9.6,0.2,154.8,74.8,-291.4,5.8,-8.2,-6.2,-2.4,-12.8,-200.4,6.6,-2.6,3.6,59.8,63.8,-216.6,5.4,-8.8,6.4,89.4,113.2,-179.8,right
-12.2,3.8,0.6,85.6,-13.4,-115.4,4.6,-12.6,-6.8,64.6,-10.8,-156.2,10,-39,-4.4,-52.8,-119.4,102.4,8,-40,-4.2,-169,-89,392.4,18.8,3.8,2.8,-172.2,-64.2,352.8,-6.6,0.8,10.8,-98.8,-55.6,280.8,0,-5.4,-9.2,-142.6,-125.6,483.8,6.4,10,-9,-297.2,-78.2,326.8,-13.6,34,7.4,-61,-76.8,196.4,-13.8,35.6,7.8,49.8,-68.2,84.8,-3,27.8,7.4,61,31.8,-127.6,4.6,9.2,5,210.6,87.4,-211,-8.2,-15.2,1.2,56.8,-23.2,-169.2,2.8,9.6,5.2,7.2,43.2,-188.6,3.4,-1,3.2,101.8,65,-175.8,5.4,-14.4,-1.4,58.6,35,-123.2,right
-6.6,-28.2,-17.6,63.2,-63.4,-140.6,2.8,-58.8,-18.6,58.6,-20.2,121.8,6.2,-81.4,-20.2,-463.6,-16.2,359.4,29.4,-5.6,0,-400.2,-48.2,462,10,21,-3.2,4,-166.6,540,-16.6,-26.8,-7.6,-389.4,-199,572.2,3.4,35.4,10,-394.2,-117.2,392.2,2.4,94.6,33,131.4,-24.2,116.6,-5,41.8,24.8,264.8,52.6,-185.6,-1.2,-17.4,5.8,215,34.4,-136,3.2,-11,-7.4,-35.6,-46.8,-188.4,-0.2,27.2,15.4,-8,22.2,-307.2,8.2,-8.8,3.8,293.8,128,-203,9.2,-29.2,-6.2,24.8,33.8,-83.4,0.8,-14.6,-6,-101,-1.8,-95,4.8,4.8,-1,36.2,7.2,-36,right
-3.4,9.2,-11.6,49.8,14.2,-344.6,7,-18.6,-25,203,-86,-111.2,-10.6,-95.4,-23,81.8,-29,316,2,-64.2,4.4,-535.2,19.8,606.4,34.8,34.6,-3.2,-477.4,-71.4,414,-3,20,-13.8,71.6,-146.2,586.4,-17.8,-29.6,4.4,-233.4,-101.2,496.8,11.2,46.2,14,-352.8,-141.2,389.2,-2.2,83,24.2,119.4,-27.8,75.8,-13.8,34,19,314.8,164,-253.4,4.8,-9.4,10.4,199,101.4,-309.6,16.6,-17.4,-9,51.6,-120,-136,-5.2,14.6,7.6,-37.8,19.2,-260.4,4.8,-7.6,6.8,156.8,130.6,-271.2,12.6,-23,-5.2,73.8,19.4,-108,5.8,-15.8,-6,-73.6,-17.6,-61.6,right
-43.4,-23,0.4,334.8,33.4,-166.4,6,-76.4,-22,-278.6,105.8,347.6,16.8,-14.2,-8,-593,18.4,498.6,6,26.8,5,-217.8,-112.6,476.4,-3.6,-2.8,1.6,-72,-64.2,333.2,14,-6,-1.4,-360.4,1,469.6,-12.6,40.8,16.4,-49.6,-16,362.8,10.4,47.6,6,3,-20.4,70.4,-16.2,49,6.6,30.8,42.4,-217,6.4,-0.6,11.6,308.2,-16.8,-237,11.8,-13.2,-0.2,261.2,-17,-155.8,-6.4,1.4,-3.4,-78.8,32,-268.6,8.8,-7.2,5.4,123.2,28.8,-220.8,3.8,-14.8,2,112.2,-5.4,-100.4,10.6,-15.8,-7.4,-9.2,-13,-81,2.8,-5,1.8,-47.2,-13,-62,right
-17.6,-0.8,-1.4,202.6,-4.4,-272.6,8,-39.2,-1.4,31.8,2,140.8,9.2,-30.2,-11.6,-378.4,-64.8,332.4,-1.2,11.4,16.2,-234.6,-44.4,153.8,-2.8,-24.8,2.4,145.8,71.6,499.6,17.6,-37.8,-19.2,-429,-63.4,550.6,-18.6,10.6,-0.4,-660.2,-138.2,456.4,-3.8,74.8,14,-46,46.8,292.4,2.2,35.8,-4.8,264.4,83.4,136.2,5.4,8.2,-4.6,-29.2,-96.2,-63.6,-4.6,33.2,10.4,96.4,23.6,-246,4.4,15.2,18,307,59.4,-291.4,0.2,-21.8,2.4,150.8,-9,-222,11.4,-10.6,-4.8,-12.2,-24.4,-204.6,8,-0.4,5.8,24.6,17.6,-217.6,0.8,-9,5.8,182.2,33,-96.4,right
-21.8,4,-2.4,166.2,5.2,-255,5.6,-41.4,-3.6,155.8,28.8,9.2,15.6,-41,3,-248.2,-87.4,187.2,3.2,-17.2,-2.8,-289.4,-51.6,256.6,-9.2,-12.6,4.8,15.4,80.8,426.6,8.6,-25.2,-1.6,-307.6,-2.4,521.2,0.8,4,2.8,-543.6,-39.6,459.4,-11.4,39.6,4,-109,54.2,421,9.2,28.6,-4.4,1.6,-51.2,260.2,0,11.4,-16.4,-78.4,-77.2,135.8,-9.8,33,-0.2,102.8,-11.6,-29.6,-4,32.2,19.4,210.4,-33,-221.6,6.8,21.4,11.6,202.2,47.8,-343.8,0.8,-20.4,4.4,137.6,58.6,-297,8,-13.8,-5,111.4,-32.8,-245.8,5,-2.2,6,-15,-6.4,-226,right
-10.4,17.6,-1.6,84.2,-33.6,-221.2,1.8,-6.4,-9.2,257,15.8,-110,-4.6,-53.4,-9.4,72.8,-33,53.8,12.6,-63.8,-7.4,-183.2,16.6,330.4,-3.4,-22.4,4.8,-359,54,561,5.6,-2,-2.8,-438.8,-35.2,551.4,6.4,7.8,2.2,-394.2,-39.6,388.8,-3,30.6,3.6,-113,85,438.6,8.8,42.6,0.4,-53.4,2.8,240.4,2.6,14.6,5.8,14.2,-65.8,43.6,-10.6,30.8,13.2,-20.8,-9.4,-92.8,14.8,48.6,6.4,204,13.8,-272.6,-0.2,-8.8,2.6,321.6,-0.8,-275.2,-5.8,-31.4,3.2,120.8,-39.4,-151.6,17.8,4.2,4.4,-101.4,5.2,-228.2,-3.2,0.8,1,136,5.8,-122,right
-18.8,-1.8,-0.2,217.4,-22.6,-232.2,4.8,-41.6,-5.2,66.6,-12.2,-65.6,5.6,-56.4,-4.6,-155.6,-34.4,227.6,-0.4,-48,-5.8,-317.2,-30.8,477.6,9.4,-5.4,7,-264.4,81.2,514.8,6,25.6,12.2,-144.6,26.4,413.8,-9.2,-6,-9.4,-280.8,-30,466.8,4.4,21.4,2.4,-258.4,11.4,352.4,-2.2,52.2,5.8,138,38.2,215.8,4,30.2,-5.2,-23.8,-71.8,-66.4,-6.6,46.8,14.2,43,-40,-254.8,-5.6,10.8,21,326,32.4,-240.6,20.6,-29.8,-12.8,200.4,-18.8,-207,-1.4,-11.6,-3.2,-138.2,-25.8,-255.4,5.8,16.6,15.2,93.4,-2.6,-143.8,8.2,-17,1.2,131.4,16.4,-115,right
-16.2,-21,-7,-19.8,5,-210.6,12.8,-22.6,-2.6,1,-31.8,-75.2,1.8,-27.8,-2,64.8,-19.6,133,-9.6,-54.2,-8,-96.8,60.4,378.4,25.4,-37.6,3.8,-448,-7.6,434.8,-10.6,4.8,8.6,-297,17,543.4,-0.2,15,-4.4,-268.8,27.6,474.6,-7.8,29,-4.8,-200.4,-15.4,352.8,2.8,40.2,3.8,-81.2,-5,190.2,-0.8,46.6,8,106.2,49.8,-23.4,0.6,29,4.8,168.4,24.4,-183.6,1.8,5.8,2.8,194.4,-19.6,-257.6,11.8,-14.8,0.2,147,-35.8,-197,8.4,-4.4,6.4,13.4,-16.6,-198.2,2,2,4.4,71.8,-9.6,-209.6,12.8,-23.2,-0.2,104.8,-15,-96.6,right
-9.2,6.4,-4,25.8,-53.2,-216.8,-3.2,-23,-8.8,165.6,-20.4,-60.6,-6.4,-55.2,-8,11.2,26.8,139,4.4,-41.2,0.2,-313.2,39.2,297,4,-19.6,12.8,-336.6,56.4,506.2,9.2,5.2,2.2,-241,82.8,476.8,-9.8,-2.6,-6,-333.2,22.4,381.4,8,17.4,-1.8,-327.4,42.4,349.2,1.8,42.4,4,-134.4,-3.6,283.6,1.6,41,-3.4,39.2,-44.8,65,3.4,47.6,9.4,122.6,-18.6,-193,-1.8,29.8,13,311.2,45.6,-266.6,10.4,-16.4,-4,286.4,-53.8,-226,7.8,-25,1.4,-24.6,-92.6,-231.8,0.4,9.6,9.6,38.4,-13.8,-130,5.2,-6.8,5.6,148,20.2,-130.4,right
-13.4,-7.4,-12,55.4,-29.4,-206.2,0,-19.6,3.8,6.8,-13.4,-62.8,-3.6,-10,4.6,50.2,16.4,20.4,-12,-41,-13,36.2,69,235,11.2,-76.6,-14.8,-331.2,23,534,12.6,3.6,21,-492,44.4,444.4,-6.2,46.2,9.4,-195,83.2,320.2,-6.2,-12.4,-15.4,-208,20.8,435.4,15,-7.6,-3.4,-314.8,-22.4,374,-7.8,80.4,18.8,0.2,94.2,99.2,6,6.6,-10.4,0.8,-25.8,37.2,-0.6,31.8,3.6,5.4,-66.8,-119.2,-0.2,30.4,10.2,226,-1.4,-184.8,6.8,0,1,253.8,42.8,-240.4,12.8,-19,7,90.6,-14.6,-272.4,8.8,0,-0.4,81.4,-68,-155.2,right
-18.8,0.8,-5.8,30.4,-27.4,-183.6,6.4,-24.6,-1.2,88.2,49.8,-78.6,2.8,-29.8,0.4,37.8,5.2,113.6,0.4,-35.8,-5.8,-111.8,-14,206.6,0.6,-43.8,-0.2,-262,53.2,341.8,19.6,-12.8,1.4,-411.8,48,489,-12.2,9.2,4.4,-326.6,-15.8,473.4,0,12.6,-3.2,-288.8,36.6,343.2,-7,24,-0.8,-209.6,9.8,346,3,35,-2.4,-146.4,-50.6,182.4,-2.6,50,1.2,115.6,34,-49.2,-2.2,34,7,243.6,56,-258.4,12.8,3.6,10.6,255.2,-65.6,-272.4,4,-25.6,-3.6,101.6,-65.2,-158,-2.2,0.2,3.4,36,46,-208.8,12.6,10.8,11.6,164.8,4.4,-218.2,right
-6.4,7.8,-4.2,110.6,-27.8,-254.2,-7.4,-31.4,-2,55.6,6.4,45.6,-7,-36.4,-4.6,-65.4,53.6,257.2,7.6,-23.8,3,-224.6,47.8,342.4,9,-12.6,-1.8,-369,29.4,382.2,4.2,-6.6,0,-388.4,-1.6,332.2,-4.4,6.8,-0.2,-226.4,47.4,437.8,3.2,21.4,-3.6,-272,14.8,321.8,-0.2,30,3.4,-141.8,-25.4,180.2,9.6,28.2,0,54.8,-11.4,100.8,-2.6,35.2,8.4,44.4,-1.6,-107.6,1.6,21.6,9.4,209.2,11.2,-184.2,6.2,-5.6,1.8,260.8,-22.8,-154.4,10,-6.6,2.6,46,-39.2,-239.6,-0.6,3.6,6,90.6,-10.6,-196.2,5.8,-16,3.2,124.4,-5.2,-123,right
-20.4,4.8,-9.2,246.8,28.8,-57.2,5.2,-9,-10.2,-226.6,58.4,439.8,7.2,-11.2,-2.6,-572.6,-39.6,338.8,0.8,37.2,8.2,-186.2,7.6,350,-6.2,26.8,5,-12.4,30.2,215.6,6,20.8,-1,16.8,-32.6,115.2,3.6,30.2,1.6,-11.6,-58.2,-53.4,0.4,29.6,15,196.6,0,-205,3.4,4,10.8,269.6,19,-250.8,10.8,-8.8,-5.2,111.4,-55.8,-183,-4.2,-7.8,3.4,55.2,-9.8,-239,8.8,1,5,159.8,12.8,-184.2,4,-15,-4.4,26.2,-4.2,-89.2,-0.4,-17.2,0.2,-2.8,-9,-44.2,2,-3.2,1.2,0.2,0.8,-37.8,-2.2,2,-1.8,20.8,21.8,32.6,right
-5.2,5,-13.8,244,14.8,-260.6,-6.8,-47.4,-11,115.8,2.6,35,2.2,-60.2,-2,-298.4,4.6,235.2,22.8,-31.6,-4.8,-427.6,-22.8,396.2,11.8,-3,8.8,-258.4,-49.2,431.4,-13.8,-18,-7.6,-200.2,17.6,596.6,6.8,2.4,-5.4,-515,-89.8,447,-4.6,34,4.4,-354,-108.8,415.8,-19.6,54.8,7.4,-51.6,8.4,200.6,-2.8,51.4,5.2,154.2,52.4,-33.2,14.2,46.4,12.8,220,55.2,-328.2,2.4,-1.8,6.8,379.4,26.8,-313.4,-1.6,-31,-0.4,161.2,-37.2,-201.8,11,0,6,-98.4,-6.4,-301.6,17.2,9,12,197.8,42,-225.6,3.4,-33.2,-1.4,215.6,13.4,-79.6,right
-5.6,1.4,-17.2,169,-6.8,-162.6,1.8,-37,-15.8,67.4,-0.4,-8.6,-0.2,-44.6,2,-133.8,-9.8,57,14.2,-17,3,-131.2,7.6,246.8,8,-29.4,-9.2,-246.2,-17.2,492.8,-2.4,-21,3.6,-410.4,-6,456,10.8,3.4,1.4,-338.4,-39.2,392.2,-4.8,18.2,3,-366.8,-92.6,462.8,-8.4,33.4,-5.8,-229.8,-58.4,335.2,-3.8,27.6,-5.8,-29.8,-47.2,200,-0.2,21.8,4.6,13.4,-128.6,95,-8.2,34.4,13,-23.8,-131.2,-99.8,-6.2,32.6,10,233.8,82,-273,-4.6,-0.6,10.4,289.8,128.8,-276,14.4,-8,-0.6,201.2,35.4,-301.6,1.4,-11.4,2.8,82.8,63,-280.6,right
